ORF,O1,O2,N1,N2,S1,S2,Q1,Q2
CAGL0E06446g,926,675,684,689,360,724,848,579
CAGL0E06468g,1765,1304,1242,1298,606,1064,1585,756
CAGL0E06490g,4846,2828,3567,3798,2006,2327,5433,3526
CAGL0E06512g,1586,937,1788,1976,777,1089,2106,1164
CAGL0E06534g,3331,2191,2263,1409,687,1978,2093,1595
CAGL0E06556g,1029,600,790,604,309,628,712,415
CAGL0E06600g,69,49,89,78,514,1027,134,93
CAGL0E06644g,24,13,12,11,934,2110,30,38
CAGL0E06666g,0,0,0,0,0,0,0,0
CAGL0E06688g,0,0,1,0,0,0,0,0
CAGL0F00105g,0,1,0,0,1,0,0,0
CAGL0F00110g,0,2,0,0,1,0,2,1
CAGL0F00116g,0,0,0,0,0,0,0,0
CAGL0F00132g,3,0,1,1,0,0,1,2
CAGL0F00176g,1,1,4,0,0,1,0,0
CAGL0F00187g,170,145,197,92,32,63,171,159
CAGL0F00209g,4,0,2,0,0,2,0,1
CAGL0F00231g,13507,9406,14983,12636,5587,6500,12376,8317
CAGL0F00253g,5158,3267,2568,1835,2146,3264,3047,2248
CAGL0F00275g,2655,1775,2478,2038,994,1717,2721,1591
CAGL0F00297g,3348,2430,2755,2058,971,2131,2840,1813
CAGL0F00319g,673,461,541,465,424,526,515,329
CAGL0F00341g,110,117,165,94,35,54,105,126
CAGL0F00363g,17739,11600,5934,11490,13497,17055,10167,2900
CAGL0F00385r,3,6,8,3,0,0,4,3
CAGL0F00407g,6442,4186,5840,3445,2382,3300,3473,2655
CAGL0F00429g,1293,996,1063,700,566,947,864,579
CAGL0F00451g,1177,859,1085,832,472,767,1110,600
CAGL0F00473g,330,244,265,167,101,246,168,142
CAGL0F00495g,1229,842,1189,991,529,852,1391,824
CAGL0F00517g,4405,3019,4609,4385,2006,2892,5195,2842
CAGL0F00539g,4479,2718,3557,3051,1521,2307,3956,2852
CAGL0F00561g,1803,1335,1387,770,570,1048,1097,939
CAGL0F00583g,1508,1144,1452,1287,709,942,1542,1089
CAGL0F00605g,1212,813,6396,4961,901,843,3516,1974
CAGL0F00627g,2859,2046,2249,1486,873,1682,1793,1317
CAGL0F00649g,14,16,35,25,0,7,16,10
CAGL0F00671g,3286,2043,2992,2866,1297,2151,3295,1604
